
         0,      0.869,      0.664,     -2.129,      1.489,     -1.738,     -0.176
         1,      0.869,      0.664,     -2.100,      1.494,     -1.709,     -0.161
         2,      0.879,      0.659,     -2.061,      1.494,     -1.680,     -0.146
         3,      0.879,      0.659,     -2.026,      1.494,     -1.646,     -0.137
         4,      0.884,      0.659,     -1.992,      1.494,     -1.611,     -0.117
         5,      0.889,      0.659,     -1.948,      1.489,     -1.572,     -0.103
         6,      0.894,      0.659,     -1.904,      1.484,     -1.533,     -0.083
         7,      0.903,      0.654,     -1.855,      1.484,     -1.489,     -0.063
         8,      0.908,      0.654,     -1.812,      1.484,     -1.445,     -0.044
         9,      0.913,      0.654,     -1.753,      1.484,     -1.401,     -0.020
        10,      0.923,      0.654,     -1.699,      1.479,     -1.353,      0.000
        11,      0.933,      0.649,     -1.641,      1.479,     -1.304,      0.024
        12,      0.938,      0.649,     -1.592,      1.475,     -1.250,      0.049
        13,      0.942,      0.649,     -1.528,      1.470,     -1.196,      0.073
        14,      0.952,      0.649,     -1.465,      1.460,     -1.143,      0.098
        15,      0.962,      0.649,     -1.401,      1.460,     -1.089,      0.127
        16,      0.967,      0.649,     -1.338,      1.450,     -1.030,      0.151
        17,      0.977,      0.645,     -1.274,      1.445,     -0.972,      0.181
        18,      0.986,      0.645,     -1.211,      1.440,     -0.923,      0.205
        19,      0.991,      0.645,     -1.157,      1.426,     -0.874,      0.220
        20,      1.001,      0.645,     -1.143,      1.396,     -0.859,      0.225
        21,      1.006,      0.645,     -1.162,      1.333,     -0.879,      0.195
        22,      1.011,      0.640,     -1.211,      1.260,     -0.933,      0.156
        23,      1.006,      0.640,     -1.270,      1.177,     -1.006,      0.117
        24,      0.991,      0.640,     -1.328,      1.099,     -1.089,      0.088
        25,      0.977,      0.640,     -1.382,      1.030,     -1.162,      0.068
        26,      0.957,      0.635,     -1.421,      0.981,     -1.226,      0.068
        27,      0.938,      0.635,     -1.436,      0.947,     -1.270,      0.083
        28,      0.923,      0.635,     -1.445,      0.933,     -1.294,      0.107
        29,      0.918,      0.635,     -1.450,      0.928,     -1.309,      0.142
        30,      0.923,      0.630,     -1.455,      0.923,     -1.318,      0.166
        31,      0.928,      0.635,     -1.460,      0.913,     -1.328,      0.195
        32,      0.933,      0.630,     -1.460,      0.908,     -1.328,      0.220
