
         0,      0.796,      0.811,     -2.290,     -0.410,     -2.246,      0.098
         1,      0.806,      0.811,     -2.275,     -0.405,     -2.231,      0.078
         2,      0.811,      0.806,     -2.261,     -0.405,     -2.217,      0.059
         3,      0.811,      0.806,     -2.251,     -0.400,     -2.197,      0.039
         4,      0.806,      0.806,     -2.236,     -0.396,     -2.183,      0.024
         5,      0.806,      0.806,     -2.222,     -0.391,     -2.163,      0.000
         6,      0.806,      0.806,     -2.207,     -0.381,     -2.144,     -0.015
         7,      0.806,      0.806,     -2.192,     -0.376,     -2.129,     -0.029
         8,      0.806,      0.806,     -2.178,     -0.366,     -2.109,     -0.044
         9,      0.811,      0.801,     -2.163,     -0.352,     -2.090,     -0.059
        10,      0.820,      0.801,     -2.153,     -0.347,     -2.070,     -0.078
        11,      0.825,      0.801,     -2.134,     -0.337,     -2.056,     -0.093
        12,      0.825,      0.801,     -2.119,     -0.322,     -2.036,     -0.107
        13,      0.830,      0.796,     -2.104,     -0.313,     -2.021,     -0.117
        14,      0.830,      0.796,     -2.095,     -0.303,     -2.002,     -0.132
        15,      0.830,      0.796,     -2.080,     -0.288,     -1.987,     -0.146
        16,      0.830,      0.796,     -2.065,     -0.278,     -1.973,     -0.156
        17,      0.830,      0.791,     -2.056,     -0.264,     -1.958,     -0.166
        18,      0.835,      0.791,     -2.046,     -0.244,     -1.943,     -0.176
        19,      0.840,      0.791,     -2.036,     -0.234,     -1.929,     -0.186
        20,      0.840,      0.791,     -2.026,     -0.215,     -1.919,     -0.195
        21,      0.845,      0.791,     -2.017,     -0.200,     -1.904,     -0.205
        22,      0.845,      0.786,     -2.007,     -0.190,     -1.890,     -0.210
        23,      0.850,      0.786,     -2.002,     -0.176,     -1.880,     -0.220
        24,      0.850,      0.786,     -1.997,     -0.161,     -1.870,     -0.225
        25,      0.850,      0.786,     -1.992,     -0.151,     -1.860,     -0.234
        26,      0.850,      0.786,     -1.987,     -0.137,     -1.851,     -0.234
        27,      0.850,      0.781,     -1.987,     -0.127,     -1.846,     -0.239
        28,      0.854,      0.781,     -1.987,     -0.117,     -1.841,     -0.244
        29,      0.850,      0.781,     -1.987,     -0.112,     -1.841,     -0.249
        30,      0.854,      0.781,     -1.992,     -0.107,     -1.836,     -0.249
        31,      0.854,      0.781,     -1.992,     -0.103,     -1.836,     -0.249
        32,      0.854,      0.776,     -2.002,     -0.103,     -1.836,     -0.254
        33,      0.854,      0.776,     -2.002,     -0.098,     -1.836,     -0.254
        34,      0.854,      0.776,     -2.012,     -0.098,     -1.836,     -0.254
        35,      0.854,      0.776,     -2.012,     -0.098,     -1.841,     -0.254
        36,      0.854,      0.771,     -2.021,     -0.103,     -1.846,     -0.254
        37,      0.854,      0.771,     -2.031,     -0.103,     -1.851,     -0.254
        38,      0.854,      0.771,     -2.036,     -0.107,     -1.855,     -0.249
        39,      0.854,      0.771,     -2.046,     -0.117,     -1.855,     -0.249
        40,      0.854,      0.767,     -2.056,     -0.132,     -1.860,     -0.254
        41,      0.850,      0.767,     -2.065,     -0.132,     -1.865,     -0.244
        42,      0.850,      0.767,     -2.075,     -0.137,     -1.875,     -0.239
        43,      0.850,      0.767,     -2.075,     -0.151,     -1.880,     -0.239
        44,      0.850,      0.767,     -2.090,     -0.161,     -1.890,     -0.239
        45,      0.850,      0.767,     -2.100,     -0.171,     -1.895,     -0.234
        46,      0.845,      0.767,     -2.104,     -0.176,     -1.904,     -0.234
        47,      0.845,      0.762,     -2.109,     -0.186,     -1.904,     -0.225
        48,      0.845,      0.762,     -2.119,     -0.200,     -1.909,     -0.225
        49,      0.845,      0.762,     -2.124,     -0.210,     -1.924,     -0.215
        50,      0.845,      0.762,     -2.124,     -0.225,     -1.929,     -0.215
        51,      0.840,      0.757,     -2.134,     -0.234,     -1.929,     -0.210
        52,      0.840,      0.757,     -2.139,     -0.244,     -1.934,     -0.205
        53,      0.840,      0.757,     -2.139,     -0.249,     -1.934,     -0.200
        54,      0.840,      0.757,     -2.139,     -0.269,     -1.938,     -0.195
        55,      0.840,      0.752,     -2.139,     -0.283,     -1.938,     -0.190
        56,      0.840,      0.752,     -2.134,     -0.298,     -1.943,     -0.186
        57,      0.840,      0.752,     -2.134,     -0.308,     -1.943,     -0.181
        58,      0.840,      0.752,     -2.129,     -0.317,     -1.943,     -0.171
        59,      0.840,      0.752,     -2.124,     -0.332,     -1.938,     -0.171
        60,      0.840,      0.752,     -2.114,     -0.347,     -1.934,     -0.161
        61,      0.840,      0.747,     -2.134,     -0.356,     -1.948,     -0.166
        62,      0.840,      0.747,     -2.173,     -0.361,     -1.987,     -0.166
        63,      0.840,      0.747,     -2.241,     -0.371,     -2.056,     -0.171
        64,      0.830,      0.742,     -2.319,     -0.381,     -2.139,     -0.171
        65,      0.820,      0.742,     -2.388,     -0.386,     -2.222,     -0.171
        66,      0.806,      0.742,     -2.451,     -0.391,     -2.305,     -0.171
        67,      0.786,      0.742,     -2.515,     -0.391,     -2.388,     -0.161
        68,      0.767,      0.742,     -2.568,     -0.376,     -2.456,     -0.151
        69,      0.752,      0.737,     -2.603,     -0.366,     -2.505,     -0.146
        70,      0.742,      0.737,     -2.632,     -0.356,     -2.549,     -0.137
        71,      0.732,      0.737,     -2.646,     -0.352,     -2.573,     -0.132
        72,      0.732,      0.737,     -2.666,     -0.347,     -2.598,     -0.132
        73,      0.737,      0.737,     -2.681,     -0.342,     -2.612,     -0.132
        74,      0.742,      0.732,     -2.695,     -0.342,     -2.632,     -0.137
        75,      0.742,      0.732,     -2.705,     -0.342,     -2.642,     -0.146
        76,      0.742,      0.732,     -2.715,     -0.342,     -2.656,     -0.146
        77,      0.737,      0.732,     -2.725,     -0.342,     -2.666,     -0.156
        78,      0.737,      0.728,     -2.729,     -0.337,     -2.676,     -0.161
        79,      0.728,      0.728,     -2.739,     -0.337,     -2.686,     -0.171
        80,      0.728,      0.728,     -2.744,     -0.332,     -2.690,     -0.176
        81,      0.728,      0.728,     -2.749,     -0.327,     -2.695,     -0.186
        82,      0.728,      0.728,     -2.759,     -0.322,     -2.700,     -0.186
        83,      0.728,      0.728,     -2.764,     -0.317,     -2.710,     -0.200
        84,      0.728,      0.723,     -2.769,     -0.313,     -2.715,     -0.210
        85,      0.728,      0.723,     -2.773,     -0.313,     -2.715,     -0.215
        86,      0.728,      0.723,     -2.778,     -0.303,     -2.725,     -0.225
        87,      0.728,      0.723,     -2.788,     -0.298,     -2.725,     -0.229
        88,      0.728,      0.723,     -2.788,     -0.288,     -2.729,     -0.234
        89,      0.723,      0.718,     -2.798,     -0.283,     -2.729,     -0.244
        90,      0.723,      0.718,     -2.803,     -0.278,     -2.734,     -0.249
        91,      0.723,      0.718,     -2.808,     -0.269,     -2.739,     -0.259
        92,      0.723,      0.718,     -2.813,     -0.259,     -2.739,     -0.264
        93,      0.723,      0.718,     -2.822,     -0.254,     -2.744,     -0.269
        94,      0.723,      0.713,     -2.827,     -0.249,     -2.744,     -0.273
